status,status_fail,response_time_ms,http_status_code,hour,day,is_weekend,rolling_z_score,rt_percentile,rt_rolling_std,fail_diff,rt_diff,rt_drift,is_monolith,service_median_rt,rt_relative
1,0,690.0,429,2,4,0,0.6378706886177253,0.7969314079422383,283.1294756820632,0.0,435.0,176.09999999999997,1,358.0,1.9273742478387084
1,0,219.0,200,2,4,0,-0.7571002525721013,0.1601985559566787,312.2439751220189,0.0,-471.0,122.44999999999999,1,358.0,0.6117318264879379
1,0,241.0,200,2,4,0,-0.702311256908766,0.2364620938628159,309.5493498620212,0.0,22.0,130.25,1,358.0,0.6731843387378676
1,0,502.0,429,3,4,0,0.5818534773061652,0.6904332129963899,207.26866622815902,0.0,261.0,55.349999999999966,1,358.0,1.4022345977029442
1,0,241.0,200,3,4,0,-0.6568464022917575,0.2364620938628159,209.485799041367,0.0,-261.0,50.75,1,358.0,0.6731843387378676
1,0,226.0,200,3,4,0,-0.4932438570103798,0.18501805054151624,121.23819530164572,0.0,-15.0,-40.80000000000001,1,358.0,0.631284898567461
1,0,201.0,200,3,4,0,-0.6550794138041707,0.09431407942238267,123.95442710932107,0.0,-25.0,-43.05000000000001,1,358.0,0.5614524982834498
1,0,240.0,200,3,4,0,-0.33860506337368934,0.23375451263537905,124.0383005365681,0.0,39.0,-44.85000000000002,1,358.0,0.6703910427265072
1,0,223.0,200,3,4,0,-0.19705826103330348,0.1723826714801444,16.238842323268894,0.0,-17.0,-101.35000000000002,1,358.0,0.6229050105333797
1,0,254.0,200,3,4,0,1.2700406293310627,0.25586642599277976,19.841874911408674,0.0,31.0,-91.59999999999997,1,358.0,0.7094971868855535
1,0,824.0,429,3,4,0,1.7839240836034815,0.8339350180505415,266.6032632958569,0.0,570.0,-0.5,1,358.0,2.301675913361008
1,0,265.0,200,3,4,0,-0.3711556065369313,0.28294223826714804,259.1904705038362,0.0,-559.0,12.050000000000011,1,358.0,0.7402234430105185
1,0,193.0,200,3,4,0,-0.5982039417552144,0.07265342960288809,265.4612966140262,0.0,-72.0,2.8000000000000114,1,358.0,0.5391061301925663
1,0,419.0,200,3,4,0,0.10937958557372682,0.6123646209386282,255.98925758711044,0.0,226.0,31.649999999999977,1,358.0,1.1703910287600272
1,0,227.0,200,3,4,0,-0.6103350304691781,0.19043321299638988,259.8572685148522,0.0,-192.0,26.0,1,358.0,0.6340781945788214
1,0,389.0,200,3,4,0,0.903151346057205,0.5613718411552346,100.09395586148042,0.0,162.0,-61.94999999999999,1,358.0,1.0865921484192138
1,0,226.0,200,3,4,0,-0.6184568372988971,0.18501805054151624,104.7769058523871,0.0,-163.0,-56.599999999999966,1,358.0,0.631284898567461
1,0,315.0,200,3,4,0,-0.002237578602980529,0.41064981949458484,89.38232487466406,0.0,89.0,-36.650000000000034,1,358.0,0.8798882435785408
1,0,229.0,200,3,4,0,-0.6590876274247829,0.19855595667870035,73.13138860981644,0.0,-86.0,-41.75,1,358.0,0.6396647866015424
1,0,330.0,200,3,4,0,0.4607197835544713,0.44584837545126355,69.89062884249927,0.0,101.0,-24.899999999999977,1,358.0,0.9217876837489475
1,0,237.0,200,3,4,0,-0.5991615280160751,0.22563176895306858,50.73756005170125,0.0,-93.0,-32.650000000000034,1,358.0,0.6620111546924259
1,0,224.0,200,3,4,0,-0.8406360319999456,0.17554151624548736,51.15173506343642,0.0,-13.0,-33.30000000000001,1,358.0,0.6256983065447401
1,0,278.0,200,3,4,0,0.411200043825086,0.3167870036101083,44.747066942985114,0.0,54.0,-42.549999999999955,1,358.0,0.7765362911582042
1,0,206.0,200,3,4,0,-0.987935153031302,0.11146209386281589,49.59838707054889,0.0,-72.0,-32.35000000000002,1,358.0,0.575418978340252
1,0,629.0,429,3,4,0,1.7688373178047594,0.7685018050541517,177.63079687936997,0.0,423.0,8.050000000000011,1,358.0,1.756983191145721
1,0,233.0,200,3,4,0,-0.4548588006045594,0.21525270758122744,178.07723043668437,0.0,-396.0,6.899999999999977,1,358.0,0.6508379706469841
1,0,302.0,200,3,4,0,-0.16091638609728,0.3822202166064982,171.5176375770142,0.0,69.0,17.450000000000045,1,358.0,0.8435753954308549
1,0,289.0,200,3,4,0,-0.2506453573892247,0.35018050541516244,170.75918716133546,0.0,-13.0,17.19999999999999,1,358.0,0.8072625472831692
1,0,230.0,200,3,4,0,-0.6397551850534707,0.20216606498194944,166.62622842757975,0.0,-59.0,21.650000000000034,1,358.0,0.6424580826129027
1,0,573.0,429,3,4,0,1.7419220054669797,0.7418772563176895,142.14183057777183,0.0,343.0,-5.5,1,358.0,1.600558614509536
1,0,224.0,200,3,4,0,-0.6933354271708911,0.17554151624548736,143.6534023265721,0.0,-349.0,22.700000000000045,1,358.0,0.6256983065447401
1,0,247.0,200,3,4,0,-0.44393994960200306,0.24548736462093862,147.7677231333013,0.0,23.0,12.600000000000023,1,358.0,0.6899441148060304
1,0,253.0,200,3,4,0,-0.34918358119790854,0.25225631768953066,150.06431954332112,0.0,6.0,2.3999999999999773,1,358.0,0.706703890874193
1,0,240.0,200,3,4,0,-0.45274373847443344,0.23375451263537905,148.87007758444943,0.0,-13.0,13.349999999999966,1,358.0,0.6703910427265072
1,0,218.0,200,3,4,0,-1.2313263429305739,0.15839350180505415,14.943225890014137,0.0,-22.0,-57.20000000000002,1,358.0,0.6089385304765774
1,0,274.0,200,3,4,0,1.357613555890082,0.30595667870036103,20.329781110479015,0.0,56.0,-41.45000000000002,1,358.0,0.7653631071127625
1,0,277.0,200,3,4,0,1.0023710118589804,0.3140794223826715,24.541801074900548,0.0,3.0,-37.99999999999997,1,358.0,0.7737429951468437
1,0,237.0,200,3,4,0,-0.4790024240219992,0.22563176895306858,25.469589710083465,0.0,-40.0,-37.30000000000001,1,358.0,0.6620111546924259
